committee,lgno,name,term,sessionPeriod,isCoChairman
內政委員會,00024,李正宗,4,1,N
內政委員會,00044,林正二,4,1,N
內政委員會,00054,林春德,4,1,N
內政委員會,00076,邱鏡淳,4,1,N
內政委員會,00098,翁金珠,4,1,N
內政委員會,00103,許登宮,4,1,N
內政委員會,00124,曹爾忠,4,1,N
內政委員會,00126,陳定南,4,1,N
內政委員會,00148,曾華德,4,1,N
內政委員會,00156,黃木添,4,1,Y
內政委員會,00161,黃義交,4,1,N
內政委員會,00174,廖風德,4,1,N
內政委員會,00183,鄭朝明,4,1,N
內政委員會,00186,蔡中涵,4,1,N
內政委員會,00189,蔡家福,4,1,Y
內政委員會,00212,戴振耀,4,1,N
內政委員會,00220,簡錫堦,4,1,Y
內政委員會,00032,李慶雄,4,2,N
內政委員會,00050,林炳坤,4,2,N
內政委員會,00091,秦慧珠,4,2,N
內政委員會,00103,許登宮,4,2,N
內政委員會,00107,郭廷才,4,2,N
內政委員會,00125,陳宏昌,4,2,N
內政委員會,00126,陳定南,4,2,N
內政委員會,00148,曾華德,4,2,N
內政委員會,00162,黃爾璇,4,2,N
內政委員會,00165,楊仁福,4,2,N
內政委員會,00174,廖風德,4,2,N
內政委員會,00183,鄭朝明,4,2,Y
內政委員會,00189,蔡家福,4,2,Y
內政委員會,00192,蔡豪,4,2,N
內政委員會,00200,劉銓忠,4,2,N
內政委員會,00212,戴振耀,4,2,N
內政委員會,00224,蘇煥智,4,2,N
內政委員會,00015,伍澤元,4,3,N
內政委員會,00019,朱鳳芝,4,3,N
內政委員會,00027,李炷烽,4,3,N
內政委員會,00058,林國龍,4,3,N
內政委員會,00072,周錫瑋,4,3,N
內政委員會,00087,侯惠仙,4,3,N
內政委員會,00103,許登宮,4,3,N
內政委員會,00110,章仁香,4,3,N
內政委員會,00154,馮滬祥,4,3,N
內政委員會,00162,黃爾璇,4,3,N
內政委員會,00165,楊仁福,4,3,Y
內政委員會,00183,鄭朝明,4,3,N
內政委員會,00184,鄭龍水,4,3,N
內政委員會,00189,蔡家福,4,3,N
內政委員會,00208,營志宏,4,3,Y
內政委員會,00212,戴振耀,4,3,Y
內政委員會,00224,蘇煥智,4,3,N
內政委員會,00013,瓦歷斯．貝林,4,4,N
內政委員會,00028,李俊毅,4,4,N
內政委員會,00038,吳清池,4,4,N
內政委員會,00087,侯惠仙,4,4,N
內政委員會,00088,唐碧娥,4,4,N
內政委員會,00107,郭廷才,4,4,N
內政委員會,00110,章仁香,4,4,N
內政委員會,00122,張學舜,4,4,Y
內政委員會,00148,曾華德,4,4,N
內政委員會,00161,黃義交,4,4,N
內政委員會,00162,黃爾璇,4,4,N
內政委員會,00171,葉宜津,4,4,N
內政委員會,00174,廖風德,4,4,N
內政委員會,00186,蔡中涵,4,4,Y
內政委員會,00189,蔡家福,4,4,N
內政委員會,00201,劉憲同,4,4,N
內政委員會,00224,蘇煥智,4,4,N
內政委員會,00003,巴燕．達魯,4,5,N
內政委員會,00013,瓦歷斯．貝林,4,5,N
內政委員會,00045,林宏宗,4,5,N
內政委員會,00050,林炳坤,4,5,N
內政委員會,00068,周伯倫,4,5,N
內政委員會,00072,周錫瑋,4,5,N
內政委員會,00090,高揚昇,4,5,N
內政委員會,00094,徐少萍,4,5,N
內政委員會,00119,張清芳,4,5,Y
內政委員會,00124,曹爾忠,4,5,N
內政委員會,00143,陳學聖,4,5,N
內政委員會,00148,曾華德,4,5,N
內政委員會,00153,馮定國,4,5,N
內政委員會,00171,葉宜津,4,5,N
內政委員會,00183,鄭朝明,4,5,N
內政委員會,00186,蔡中涵,4,5,Y
內政委員會,00189,蔡家福,4,5,N
內政委員會,00208,營志宏,4,5,N
內政委員會,00224,蘇煥智,4,5,N
內政委員會,00002,方醫良,4,6,N
內政委員會,00038,吳清池,4,6,N
內政委員會,00050,林炳坤,4,6,Y
內政委員會,00087,侯惠仙,4,6,N
內政委員會,00090,高揚昇,4,6,N
