term,name,ename,sex,party,partyGroup,areaName,committee,onboardDate,degree,tel,experience,fax,addr,picUrl,leaveFlag,leaveDate,leaveReason
10,孔文吉,Kung Wen-Chi,男,中國國民黨,中國國民黨,山地原住民選舉區,第10屆第1會期：經濟委員會;第10屆第2會期：經濟委員會;第10屆第3會期：經濟委員會;第10屆第3會期：紀律委員會;第10屆第4會期：經濟委員會;第10屆第5會期：經濟委員會;第10屆第6會期：經濟委員會;第10屆第7會期：經濟委員會;,2020/02/01,英國羅芙堡大學(Loughborough University)社會學系媒體研究組博士;美國奧勒岡大學(University of Oregon)新聞碩士;台灣大學外文系,國會研究室：02-2358-8246;埔里服務處：04-9299-0078,第六、七、八、九、十屆立法委員台北市政府原住民事務委員會主任委員內政部民政司專員行政院新聞局聯絡室秘書財團法人公共電視文化事業基金會董事朝陽科技大學及文藻外語專科學校助理教授東吳大學、東華大學、花蓮師範學院兼任助理教授,國會研究室：02-2358-8250;埔里服務處：04-9299-7078,國會研究室：100224台北市中正區濟南路1段3之1號0203室;埔里服務處：545020南投縣埔里鎮慈恩街31號,http://www.ly.gov.tw//Images/Legislators/100001.jpg,否,,
10,王定宇,Wang Ting-Yu,男,民主進步黨,民主進步黨,臺南市第6選舉區,第10屆第1會期：外交及國防委員會;第10屆第2會期：外交及國防委員會;第10屆第2會期：紀律委員會;第10屆第2會期：修憲委員會;第10屆第3會期：外交及國防委員會;第10屆第3會期：修憲委員會;第10屆第4會期：外交及國防委員會;第10屆第5會期：外交及國防委員會;第10屆第6會期：外交及國防委員會;第10屆第6會期：紀律委員會;第10屆第7會期：外交及國防委員會;,2020/02/01,國立臺北大學企管博士;國立成功大學企管碩士;國立成功大學外文系,國會研究室：02-2358-8211;南關線服務處：06-330-2318;東區服務處：06-238-8088,2002年-2006年 台南市第15屆市議員2006年-2010年 台南市第16屆市議員2010年-2014年 第1屆臺南直轄市議員2016年-2020年 第九屆立法委員民進黨第15、16、17屆中執委/第18屆中常委2020年 2月-   第10屆立法委員,國會研究室：02-2358-8215;南關線服務處：06-338-7412;東區服務處：06-236-6188,國會研究室：100221台北市中正區青島東路1號3205室;南關線服務處：711012台南市歸仁區中山路三段70號;東區服務處：701011台南市東區裕農路296-21號,http://www.ly.gov.tw//Images/Legislators/100002.jpg,否,,
10,王美惠,WangMei-Hui,女,民主進步黨,民主進步黨,嘉義市選舉區,第10屆第1會期：內政委員會;第10屆第2會期：內政委員會;第10屆第3會期：內政委員會;第10屆第3會期：經費稽核委員會;第10屆第4會期：內政委員會;第10屆第4會期：經費稽核委員會;第10屆第5會期：內政委員會;第10屆第5會期：經費稽核委員會;第10屆第6會期：內政委員會;第10屆第6會期：紀律委員會;第10屆第6會期：經費稽核委員會;第10屆第7會期：內政委員會;第10屆第7會期：經費稽核委員會;,2020/02/01,嘉義大學ＥＭＢＡ碩士,國會研究室：02-2358-8561;嘉義服務處：05-277-9699,嘉義市第7屆至第10屆議員民主進步黨全國黨代表嘉義市扁友會後援會副總幹事511台灣正名運動嘉義代表台灣一邊一國嘉義代表前市議員江熙哲(江總)服務處主任,國會研究室：02-2358-8565;嘉義服務處：05-277-6029,國會研究室：100224台北市中正區濟南路1段3之1號1105室;嘉義服務處：600013嘉義市東區公明路152號,http://www.ly.gov.tw//Images/Legislators/100003.jpg,否,,
10,王婉諭,WangWan-Yu,女,時代力量,時代力量,全國不分區及僑居國外國民,第10屆第1會期：社會福利及衛生環境委員會;第10屆第1會期：經費稽核委員會;第10屆第2會期：社會福利及衛生環境委員會;第10屆第2會期：經費稽核委員會;第10屆第3會期：教育及文化委員會;第10屆第4會期：教育及文化委員會;第10屆第5會期：教育及文化委員會;第10屆第6會期：教育及文化委員會;第10屆第7會期：社會福利及衛生環境委員會;,2020/02/01,苗栗市建功國小;私立衛道中學;台灣大學 地質科學學士;美國南加大(University of Southern California) 材料科學系碩士,國會研究室：02-2358-6376;新北服務處：02-2250-3225;竹南服務處：037-465-009;宜蘭服務處：03-932-1190,新竹科學園區研發工程師新竹科學園區行銷副理台元科技園區行銷經理司法改革國是會議委員,國會研究室：02-2358-6380;新北服務處：02-2250-3132;竹南服務處：037-465-008,國會研究室：100221台北市中正區青島東路1號3306室;新北服務處：220002新北市板橋區文化路一段102號3樓;竹南服務處：350002苗栗縣竹南鎮環市路二段213號;宜蘭服務處：260030宜蘭縣宜蘭市女中路三段43號,http://www.ly.gov.tw//Images/Legislators/100004.jpg,否,,
10,伍麗華Saidhai‧Tahovecahe,WuLi-Hua,女,民主進步黨,民主進步黨,山地原住民選舉區,第10屆第1會期：教育及文化委員會;第10屆第2會期：教育及文化委員會;第10屆第2會期：修憲委員會;第10屆第3會期：內政委員會;第10屆第3會期：修憲委員會;第10屆第4會期：內政委員會;第10屆第5會期：內政委員會;第10屆第6會期：內政委員會;第10屆第7會期：內政委員會;,2020/02/01,國立屏東大學教育行政研究所博士班(104-) ;屏東師範學院（現為國立屏東大學）國民教育研究所碩士(85-87) ;屏東師範學院（現為國立屏東大學）(80-84) ;屏東師專(73-78),國會研究室：02-2358-8258;屏東服務處：08-723-5625,泰武國小校長 地磨兒國小校長 屏東縣政府原住民處處長,國會研究室：02-2358-8260;屏東服務處：08-723-5625,國會研究室：100224台北市中正區濟南路1段3之1號2101室;屏東服務處：900021屏東縣屏東市香揚巷58號,http://www.ly.gov.tw//Images/Legislators/100005.jpg,否,,
10,江永昌,Chiang Yung-Chang,男,民主進步黨,民主進步黨,新北市第8選舉區,第10屆第1會期：財政委員會;第10屆第2會期：財政委員會;第10屆第3會期：司法及法制委員會;第10屆第4會期：司法及法制委員會;第10屆第5會期：司法及法制委員會;第10屆第6會期：司法及法制委員會;第10屆第7會期：司法及法制委員會;,2020/02/01,中和國小;海山國中;建國高中;中興大學物理學士;臺灣師範大學政治碩士;臺灣大學工業工程碩士;臺灣科技大學財務金融碩士,國會研究室：02-2358-8199;中和服務處：02-2249-7899,公督盟、口袋國會雙認證優秀立委立法院院會及委員會法案與預算審查出席率、質詢率皆百分百第九屆立法委員第一、二屆新北市議員第十六屆台北縣議員中和市市民代表立委趙永清國會助理陽光之友協會理事長新北市義消,國會研究室：02-2358-8200;中和服務處：02-2249-7999,國會研究室：100224台北市中正區濟南路1段3之1號2123室;中和服務處：235068新北市中和區中和路44號2樓,http://www.ly.gov.tw//Images/Legislators/100006.jpg,否,,
10,江啟臣,Chiang Chi-Chen,男,中國國民黨,中國國民黨,臺中市第8選舉區,第10屆第1會期：外交及國防委員會;第10屆第2會期：外交及國防委員會;第10屆第3會期：外交及國防委員會;第10屆第4會期：外交及國防委員會;第10屆第5會期：外交及國防委員會;第10屆第5會期：紀律委員會;第10屆第6會期：外交及國防委員會;第10屆第7會期：外交及國防委員會;,2020/02/01,美國南卡羅萊納大學國際關係博士 ;美國匹茲堡大學公共暨國際事務學院國際事務碩士 ;國立政治大學外交學系學士 ;台中一中;豐南國中;瑞穗國小,國會研究室：02-2358-6726;豐原服務處：04-2515-9998;東勢服務處：04-2577-3099,中華民國第八、九屆立法委員(台中市)中國國民黨立法院黨團第九屆六、七會期總召中國國民黨立法院黨團第九屆第二會期書記長中國國民黨政策委員會執行長中國國民黨中常委立法院中華民國與新加坡國會議員友好協會會長立法院中華民國與英國國會議員友好協會會長 行政院新聞局局長東吳大學政治系專任副教授 台灣經濟研究院國際處代處長中華台北APEC研究中心副執行長太平洋經濟合作理事會（PECC）中華民國委員會副秘書長台灣經濟研究院國際處副處長東吳大學政治系專任助理教授 台灣經濟研究院副研究員行政院一等功績獎章中央社二○○六年台灣十大潛力人物,國會研究室：02-2358-6730;豐原服務處：04-2515-6798;東勢服務處：04-2577-3167,國會研究室：100224台北市中正區濟南路1段3之1號2102室;豐原服務處：420076臺中市豐原區豐原大道四段165號;東勢服務處：423020臺中市東勢區公園路36號,http://www.ly.gov.tw//Images/Legislators/100007.jpg,否,,
10,何志偉,Ho Mark Chih Wei,男,民主進步黨,民主進步黨,臺北市第2選舉區,第10屆第1會期：外交及國防委員會;第10屆第2會期：外交及國防委員會;第10屆第2會期：修憲委員會;第10屆第3會期：司法及法制委員會;第10屆第3會期：修憲委員會;第10屆第4會期：司法及法制委員會;第10屆第5會期：外交及國防委員會;第10屆第6會期：外交及國防委員會;第10屆第7會期：外交及國防委員會;,2020/02/01,美國南加州大學公共行政碩士;國立政治大學資訊管理博士班,國會研究室：02-2358-6356;士林服務處：02-2811-4556;後港聯絡處：02-2883-9006;北投聯合服務處：02-2891-5265;大同服務處：02-2595-7980,中華民國第九屆立法委員第十一、十二屆臺北市議員民進黨第十四、十五屆中常委民進黨第十六屆中評委臺北市中醫師公會首席顧問臺北市幼教協會顧問寶島新聲電台主持人八二三戰役戰友協會顧問美國哈彿大學全球健康研究所認證「伊波拉的教訓：預防下一次的疫情」臺美國會議員聯誼會秘書長,國會研究室：02-2358-6185;士林服務處：02-2813-3582;後港聯絡處：02-2883-0263;北投聯合服務處：02-2891-3096;大同服務處：02-2595-2213,國會研究室：100024台北市中正區濟南路一段3-1號501室;士林服務處：111062台北市士林區重慶北路四段186號;後港聯絡處：111056台北市士林區華齡街88號;北投聯合服務處：112009台北市北投區大同街221號;大同服務處：103038台北市大同區昌吉街36號1樓,http://www.ly.gov.tw//Images/Legislators/100008.jpg,否,,
10,何欣純,Ho Hsin-Chun,女,民主進步黨,民主進步黨,臺中市第7選舉區,第10屆第1會期：交通委員會;第10屆第1會期：經費稽核委員會;第10屆第2會期：經費稽核委員會;第10屆第3會期：經濟委員會;第10屆第3會期：經費稽核委員會;第10屆第4會期：經濟委員會;第10屆第4會期：經費稽核委員會;第10屆第5會期：教育及文化委員會;第10屆第5會期：經費稽核委員會;第10屆第6會期：教育及文化委員會;第10屆第6會期：經費稽核委員會;第10屆第7會期：交通委員會;,2020/02/01,英國約克大學碩士;國立成功大學;臺中女中;成功國中;塗城國小,國會研究室：02-2358-8388;大里服務處：04-2483-6527;太平服務處：04-2276-3111,第九屆立法委員第九屆第五會期立法院民進黨黨團幹事長第九屆第四會期立法院民進黨黨團書記長第八屆立法委員第一屆大臺中市議員(縣市合併後)第十五、十六屆臺中縣議員,國會研究室：02-2358-8390;大里服務處：04-2482-8743;太平服務處：04-2276-3555,國會研究室：100024台北市中正區濟南路1段3之1號0301室;大里服務處：412015臺中市大里區大里路62號;太平服務處：411042臺中市太平區新平路二段142號,http://www.ly.gov.tw//Images/Legislators/100009.jpg,否,,
10,余天,YuTien,男,民主進步黨,民主進步黨,新北市第3選舉區,第10屆第1會期：財政委員會;第10屆第2會期：財政委員會;第10屆第3會期：財政委員會;第10屆第4會期：財政委員會;第10屆第5會期：財政委員會;第10屆第6會期：財政委員會;第10屆第7會期：財政委員會;,2020/02/01,新竹縣立第一中學附設補習學校,國會研究室：02-2358-6036;三重服務處：02-2986-9783,現任第10屆立法委員現任民進黨新北市黨部第五屆主任委員第七屆立法委員民進黨第十六屆中央執行委員民進黨新北市黨部第四屆主任委員台灣媳婦關懷促進協會理事長中華民國歌舞藝能服務人員職業工會聯合總工會理事長臺北市歌舞藝能服務人員職業工會理事長中華民國關懷藝人基金會董事,國會研究室：02-2358-6040;三重服務處：02-2986-9507,國會研究室：100221台北市中正區青島東路1號3103室;三重服務處：241067新北市三重區忠孝路一段153號1樓,http://www.ly.gov.tw//Images/Legislators/100010.jpg,否,,
