speaker,speech_text,speech_number,meeting_id
賴惠員,（9時17分）署長早。今天針對空污基金的短絀跟存續問題來跟你探討，因應氣候變遷及減碳排是全球共識，甚至在COP26會議裡已經作出相關結論，其中最主要的就是淨零減碳。因應氣候變遷，署長在前幾天接受記者訪問時，特別提到過去環保署的目標是突破處理空氣污染問題，現在最主要的是減碳來對抗氣候變遷。前朝時代有吸菸救健保，現在有空污救環保，請問是否為這樣？以空污費為主要來源的空污基金，除了用來改善固定污染源排放的設備，也補助柴油車加裝濾煙器與二行程機車的汰換。空污基金在民國84年成立，目的就是要減少空氣污染，在空氣污染基金年年短少的情形之下，再加上我們對於環保的要求越來越高，我想請問署長，空污基金未來的去留要怎麼辦？這是一個態度，還是要併入未來的溫管法一起做管理？請問環保署的計畫是如何？,1,LCIDC01_11011601_00002
賴惠員,是，沒有錯。,2,LCIDC01_11011601_00002
賴惠員,署長，這個非常明確，就是空污基金即將持續運作下去。,3,LCIDC01_11011601_00002
賴惠員,針對空污基金持續運作，我再來跟你共同討論，與污染成本相比，空污費的費率是不是太低？造成企業缺乏減碳的誘因。環保署2018年委外的研究計畫指出，揮發性有機物質的污染物所產生的PM2.5，空污費必須提高4到6倍才能夠真正反映真實產生的污染成本，就算現實情況空污費沒有辦法調漲4到6倍，也應該要徵收高於污染防制的相關成本。簡單來講，硫氧化物每公斤高於6.6元到10元，如果業者去建置比較先進的防制空污設備，每公斤的成本因為春夏與秋冬的價錢不一樣，硫氧化物是落在10元到17元，氮氨化物是落在20元到28元。這個誘因太少了，企業為什麼要建置新設備呢？這顯然是有點矛盾。請問署長怎麼回應這個問題？,4,LCIDC01_11011601_00002
賴惠員,"好。接著請問蔡處長，空污基金從107年開始每年都是花老本，都是虧損了，連今年都需要靠環保署提撥25億3,500萬元來資助，大部分都用在提撥辦理老舊機車的淘汰，剛才報告講得非常清楚，請問處長，在空污基金短缺這麼嚴重的時候，有可能調整政策嗎？",5,LCIDC01_11011601_00002
賴惠員,到111年底執行完畢以後，你要做怎麼樣的調整？我讓你有機會跟大家報告。,6,LCIDC01_11011601_00002
賴惠員,"只有討論及檢討？請處長看一下，空污基金的執行率過低，我們知道執行率過低有種種的原因，最主要的執行單位是環保署跟交通部一起共同執行，空污基金最大宗的是補助老舊機車汰換，這個我們都非常清楚。其實空污基金111年預算計畫編列4億5,254萬元，補助民間及個人購買使用低污染車輛，這林林總總，其實你們的執行率是過低的。為什麼執行率會過低？可否向本席報告？",7,LCIDC01_11011601_00002
賴惠員,沒有錯，處長，我們知道根本的原因就是，錢由你們來付，執行是交通部，問題卡在你們付了錢，你們也要負責任。如果交通部做得不夠積極，要怎麼辦？當然我們就會質詢你們，麻煩會後提供書面報告給本席。,8,LCIDC01_11011601_00002
賴惠員,"署長，這就是創新的方式，希望能做一個調整。最後跟署長討論水污染防治基金，我們知道3月份缺水非常嚴重，環保署7大整治河川的基流量都不足，不過新虎尾溪、北港溪、東港溪還是達成河川氨、氮的濃度標準。畜牧用水的新虎尾溪、北港溪、東港溪及急水溪這4條河川當中，只有本席選區的急水溪沒有達到目標，你們的新聞稿說臺南急水溪是因為測量站在施工，可是這個理由本席沒有辦法接受，因為你們9月份的資料指出，這7條河流都是惡化的，尤其急水溪更是惡化，完全沒有改善。署長，從109年到110年共編列8億3,000萬元，編了這麼多，111年又多編列，甚至水質保護分支計畫又多加了1,800萬元的業務費。署長跟處長，我在此請教你們，有沒有什麼比較好的計畫去取代過去兩年的這個計畫？顯然你們是做得不好的。",9,LCIDC01_11011601_00002
賴惠員,好。,10,LCIDC01_11011601_00002
賴惠員,"好，顯然我們看得出環保署的積極創新作為。最後在此向署長請教，就是你推動的畜牧資源化，現在有147家已經申請通過活化計畫，有24家個案再利用、43家是通過或申請中的回收水再利用，光看這個媒合的數字好像非常漂亮。在此我要提醒署長，這個網站是有問題的，因為它只把最好的呈現出來，並沒有呈現最多的基本面探討，因為光是養豬的部分，與臺南農地面積相比，這個比例太低了。臺灣養豬場就有6,359座，可是其他養牛、養鴨等四隻腳的都沒有算進去，可見這個網站完全是一個美化數字的網站。所以我要請署長特別注意這個問題並加以修正，有時候大家給你看的資料顯然不是非常正確。最後跟署長做一個要求，針對整體氣候變遷，署長在未來有沒有更好的計畫？希望署長提供書面資料給本席。",11,LCIDC01_11011601_00002
賴惠員,是啊！你只是看到片面的東西。,12,LCIDC01_11011601_00002
