speaker,speech_text,speech_number,meeting_id
邱顯智,現在開會。進行本日議程報告事項。報　告　事　項一、本院人事處提報院會關於「立法院第10屆第3會期各委員會召集委員選舉時間、地點表」，業經本院第10屆第3會期第1次會議決定照案通過在案；並經本院人事處函送本會召集委員選舉人名冊到會。二、宣讀本院第10屆第3會期本會召集委員選舉人名冊。,1,LCIDC01_1102601_00013
鄭麗文,先抽順序籤。,2,LCIDC01_1102601_00013
賴士葆,剛才主席宣布得很清楚，是採不記名投票或者推舉嘛！,3,LCIDC01_1102601_00013
賴士葆,這一點要先確定，就是我們採推舉的方式，然後才有下一步。,4,LCIDC01_1102601_00013
周春米,就你啊！,5,LCIDC01_1102601_00013
范雲,就你啦！,6,LCIDC01_1102601_00013
羅致政,推舉黃世杰委員。楊主任秘書育純：麻煩黃世杰委員，謝謝。主席（黃委員世杰）：現在開會。進行報告事項，請宣讀會議議程。報　告　事　項一、本院第10屆第3會期各委員會召集委員選舉時間及地點，業經本院第10屆第3會期第1次會議決定照案通過在案。二、宣讀本會期本會召集委員選舉人名冊。,7,LCIDC01_1102601_00013
費鴻泰,我建議直接推舉兩位委員擔任召委，因為狀況也是如此，好不好？把這些程序節省了。本黨推薦葉毓蘭委員。,8,LCIDC01_1102601_00013
柯建銘,那麼本黨推薦黃世杰委員。我想也不必投票了吧？,9,LCIDC01_1102601_00013
陳椒華,好，同意。,10,LCIDC01_1102601_00013
陳玉珍,我抽中了。,11,LCIDC01_1102601_00013
